,item, price ,url
288,"Brand New 4-3/8"" Aluminum Suction Cup and Dent Puller", $10.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-newaluminum-suction/6791494162.html
289,plyers and tape measure, $30.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-plyers-and-tape-measure/6791296400.html
290,Jobmate 5-Pc. Wrecking Bar Set, $25.00 ,https://toronto.craigslist.org/yrk/tls/d/north-york-jobmate-5-pc-wrecking-bar-set/6770612806.html
291,drill, $25.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-drill/6791008936.html
292,Scale Torque Wrench, $30.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-scale-torque-wrench/6790940022.html
293,Brand New Wood Handle Hole digger, $30.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-wood-handle-hole/6790775352.html
294,Brand New Fuel Pump and Vacuum Tester, $30.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-fuel-pump-and/6790775634.html
295,Reciprocating hack saw 600V," $1,800.00 ",https://toronto.craigslist.org/yrk/tls/d/woodbridge-reciprocating-hack-saw-600v/6790710972.html
296,All sizes of Brand New Diamond Blade and Saw Blade, $5.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-all-sizes-of-brand-new/6790678540.html
297,Rubber Air Hose 3/8-Inch, $45.00 ,https://toronto.craigslist.org/mss/tls/d/mississauga-rubber-air-hose-3-8-inch/6790542872.html
298,Wooden handles, $15.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-wooden-handles/6790508056.html
299,"Hammerdrill, DeWalt", $120.00 ,https://toronto.craigslist.org/tor/tls/d/york-hammerdrill-dewalt/6790365242.html
300,BRAND NEW 40PC TAP & DIE SET MM, $30.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-40pc-tap-die-set-mm/6789864658.html
301,Brand New 20V LI-ION Cordless Drill / Impact Driver Kit, $150.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-20v-li-ion/6789864957.html
302,BRAND NEW 9PC LOCK OUT TOOL KIT (On Sale), $10.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-9pc-lock-out-tool/6789864426.html
