,item,price,url
33,Senco Collated Drywall Screw Gun,$0.00,https://toronto.craigslist.org/tor/tls/d/courtice-senco-collated-drywall-screw/6803149767.html
34,5 pc plier set $ 25,$25,https://toronto.craigslist.org/tor/tls/d/5-pc-plier-set-25/6803115411.html
35,/SCREWDRIVERS $20/ ROLLERSTAND $20 /,$20,https://toronto.craigslist.org/tor/tls/d/screwdrivers-20-rollerstand-20/6803115980.html
36,Wheelbarrow,$50,https://toronto.craigslist.org/tor/tls/d/toronto-wheelbarrow/6803102966.html
37,2 new Milwaukee M18 batteries and charger,$135,https://toronto.craigslist.org/tor/tls/d/toronto-2-new-milwaukee-m18-batteries/6803054396.html
38,Karcher pressure washer for parts or repair,$20,https://toronto.craigslist.org/tor/tls/d/north-york-karcher-pressure-washer-for/6803037321.html
39,Ridgid 5pc Set for sale,$400,https://toronto.craigslist.org/bra/tls/d/brampton-ridgid-5pc-set-for-sale/6803027303.html
40,"FSM-16 Shrinker Stretcher,16 Gauge Mild Steel Capacity",$1198,https://toronto.craigslist.org/oak/tld/d/burnaby-fsm-16-shrinker-stretcher16/6800409106.html
41,Rupes Bigfoot ibrid Nano,$700,https://toronto.craigslist.org/tor/tls/d/west-toronto-rupes-bigfoot-ibrid-nano/6802942073.html
42,"New 12"" Impuls Bag Sealer with copper transformer",$38,https://toronto.craigslist.org/tor/tls/d/scarborough-new-12-impuls-bag-sealer/6802848977.html
43,"20"" Impulse Sealer Heat Manual Seal Machine Plastic Poly Bag",$139,https://toronto.craigslist.org/tor/tls/d/scarborough-20-impulse-sealer-heat/6802843481.html
44,6 foot alumimum ladder,$40,https://toronto.craigslist.org/tor/tls/d/toronto-6-foot-alumimum-ladder/6802783938.html
45,Skate riveter machine pneumatic & skate blade edge checker,$0.00,https://toronto.craigslist.org/tor/tls/d/toronto-skate-riveter-machine-pneumatic/6802762920.html
46,Trerice Dial liquid Thermometer,$25,https://toronto.craigslist.org/yrk/tls/d/richmond-hill-trerice-dial-liquid/6791100086.html
47,"Brand New 1/4"" Laminate Trimmer",$60,https://toronto.craigslist.org/tor/tls/d/north-york-brand-new-1-4-laminate/6802710791.html
48,Skate riveter machine pneumatic & skate blade edge checker,$0.00,https://toronto.craigslist.org/tor/tls/d/toronto-skate-riveter-machine-pneumatic/6800877707.html
49,Portable travel skate sharpener,$0.00,https://toronto.craigslist.org/tor/tls/d/toronto-portable-travel-skate-sharpener/6800879100.html
